Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
5/24/2015,AQS,060730001,1,6.7,ug/m3 LC,37,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/27/2015,AQS,060730001,1,4.2,ug/m3 LC,23,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
5/30/2015,AQS,060730001,1,10.4,ug/m3 LC,53,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/2/2015,AQS,060730001,1,5.8,ug/m3 LC,32,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/5/2015,AQS,060730001,1,4.5,ug/m3 LC,25,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/8/2015,AQS,060730001,1,7.5,ug/m3 LC,42,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/11/2015,AQS,060730001,1,3.4,ug/m3 LC,19,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/14/2015,AQS,060730001,1,3.2,ug/m3 LC,18,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/17/2015,AQS,060730001,1,11.4,ug/m3 LC,55,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
6/20/2015,AQS,060730001,1,13.5,ug/m3 LC,59,Chula Vista,1,100,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,41740,"San Diego-Carlsbad, CA",06,California,073,San Diego,32.631242,-117.059088
