"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/23/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/24/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/25/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/26/2015","AQS","060710001","1","0.3","ppm","3","Barstow","18","75.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/27/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"02/28/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/01/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/02/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/03/2015","AQS","060710001","1","0.2","ppm","2","Barstow","16","67.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/04/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/05/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/06/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/07/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/08/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/09/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/10/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/11/2015","AQS","060710001","1","0.4","ppm","5","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/12/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/13/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/14/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/15/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/16/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/17/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/18/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/19/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/20/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/21/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/22/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/23/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/24/2015","AQS","060710001","1","0.1","ppm","1","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/25/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/26/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/27/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/28/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/29/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/30/2015","AQS","060710001","1","0.3","ppm","3","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
"03/31/2015","AQS","060710001","1","0.2","ppm","2","Barstow","24","100.0000","42101","Carbon monoxide","093","40140","Riverside-San Bernardino-Ontario, CA","06","California","071","San Bernardino","34.89405","-117.02471"
